title,type,link
Charge FY 2020,charge,https://drive.google.com/open?id=1zP1ObNjbEVlBifftqyW2RkgsrDLTFikP
Initiative Revisions Approved 2019-06,revision,https://drive.google.com/open?id=1cfdJKvmW8uwFtLvNLA6pDjHDlTkEO1T_
Strategic Plan Related Document,strategic plan,https://drive.google.com/open?id=1I1OR9kOD5DK_aCqdvEyRhw76NiOPDbN2
